Description,ASIN,Product_Description,Manufacturer
"Premium Durable Material - Travel duffel bag is made of high quality,durable material.Separate Shoes Compartment - Built-in extra shoes compartment with exterior zippers to keep your shoes and clean sport gears separate.Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.Adjustable Shoulder straps - Comfortable and adjustable shoulder strapAbundance of Storage - Large capacity,meet your requirement for sure and keep your stuff in order. What an amazing design for Sport Bag!",ASIN : B08KG7J7L5,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Two big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",Manufacturer : Sfane
Care Instructions: Wipe with Damp ClothHandcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers,ASIN : B0B8NX7SXR,,Manufacturer : Acefour Accessories Pvt. Ltd.
"Care Instructions: Hand Wash Only✅Material: Polyester Soft, Durable & Water Resistant | Compatible Laptop Size: 12 to 17 inch | Color: Black | Pattern: Solid | Capacity: 30 liters | Weight: 300 g | Warranty: 1 Year✅ Durable and Sturdy: Made from durable quality POLYESTER fabric, this WHITECRAFT backpack is sturdy and reliable. Flaunt this bag with style and enjoy life with this low-maintenance bag which is also washable. This backpack is also suitable for school or college.✅ Easy grab padded handle: For added comfort and convenience to hold the bag. Padded and Ergonomic Shoulder Straps: There are padded back mesh and ergonomic straps that give extra spine and shoulder support and help minimize the load after carrying the bag through a busy day. This unisex backpack can be carried to work, college, school, for a day out, or even while you are traveling!✅Warranty: 1 Year Manufacturer Warranty Against Manufacturing Defects✅Disclaimer: There might be minor color variations between the actual product and the image shown on screen due to lighting in the photography.",Item model number : FIND-30L-BLACK,"Meet seek! WHITECRAFT is introducing one of its kind of an overnighter backpack. Made out of polyester, it has an exquisite look. There is a convey pack available like the one available in luggage. It has a capacity of 30 liters hence it is provided with load stabilizers on shoulder straps like the ones available in rucksacks. A perfect bag for leisure or an official trip of 2-3 days.",ASIN : B0CJJMRVW5
,Manufacturer : Rushi Enterprise,,Date First Available : 31 December 2015
"Design - This Fur Jaden Gym Bag cum Travel Duffle Sports Bag comes with 1 Main Spacious Compartment which can accommodate a pair of clothes, a towel, a pair of footwear and your water bottle / shaker. Now whether you want to go for a football match or work out or are planning a weekend trip, this bag is the perfect accessory that will sort you out.Features - This Duffle Bag specially made for people who work out / play sports / football / gym comes with 2 convenient grab handles along with an adjustable shoulder strap which gives you extra convenience to travel with it or carry it with you on your bike. This gym bag comes with a zip pocket on the side to put your bike keys and other small accessories. There is also an additional zip pocket on the inside of the bag to securely keep your money / household keys so they are secure and safe.Accessories: High Quality Durable and Long Lasting Zips and Accessories have been used to manufacture this bag to ensure it has a long life and can withstand rough usage.Dimension - 44 x 23 x 23 cms. Vol: 23 litresWarranty - 6 Month Warranty Against Manufacturing Defects Only.",ASIN : B086PYLWS3,,Manufacturer : FUR JADEN
"Suitable for wet waste segregationOxo-Biodegradable Garbage Bags for your home and kitchenConvenient for clean-up and garbage disposalMultifunctional use; ideal for office, hotels, household useDetachable tie-tape to tie up bag after useDimensions - 43 cms x 48 cms; Size: SmallPackage Contents - 3 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 30 per roll; Colour: Green",ASIN : B08TDCGCPK,"Presto! offers Oxo-Biodegradable Garbage Bags to help you maintain cleanliness and hygiene in your house, office and surroundings. These garbage bags make clean-up and garbage disposal a hassle-free task while being easy on the environment! Line them up in your bedroom or bathroom dustbins or use them to segregate wet waste in the kitchen. Handy at offices or hotels, they’re useful for getting rid of leftover party plates and garbage as well. They come with a detachable tie-tape which lets you neatly tie up the bag, making it easier to carry out after use. These small-sized bags easily fit any small dustbins. They are available in green colour in a pack of 3 rolls, and each roll contains 30 bags for your convenience.",Manufacturer : Presto!
"Care Instructions: Hand Wash OnlyFit Type: regularHandcrafted with care and made up of premium quality robust materialPadded laptop compartment fits up to 14 inch laptop, Front Access pocket & Back padding with Air mesh",ASIN : B0B68ZS5G1,,Manufacturer : Acefour Accessories Pvt. Ltd.
"Durable Material & Solid: Made of Water-repellent & Durable Polyester Fabric material gives the backpack a premium, business look. This laptop backpack give you a secure & long-lasting usage everyday. This laptop backpack is very useful for men and women, office goers and also useful for college, high school students for boys, girls, teens, adults.Multi Compartments: This laptop backpack has multiple functional compartments to store 15.6 inch Laptop and also the backpack can hold 15inch, 14inch and 13 inch laptop. This backpack has multiple compartments and pockets to store all your daily necessities and al other accessories.USB Charging Features: An USB port outside the backpack is provided to connect your charging cable to charge your Smartphone / Tablet on the move, while the other end can be connected to a power-bank kept safely inside one of the pouch inside the bag. Please noted that there is no power source provided with this bag. The usb charging port only offers an easy access to chargeSturdy & Comfortable: This backpack has a comfortable airflow back design with thick but soft multi-panel ventilated padding in the back, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle allows you to carry the bag for long time.Additional Safety Features: A luggage strap allows backpack fit on luggage/suitcase, slide over the luggage upright handle tube for easier carrying. With a hidden anti theft pocket on the back protect your valuable items from thieves. Well made for international airplane travel and day trip as a travel gift for men",ASIN : B09WYVR9Y1,,Manufacturer : Encon Impex Pvt Ltd
"Care Instructions: Hand Wash Only[Anti-theft Backpack with Customs Lock] - Arctic Hunter designed backpack for the security of everyone's belongings. The main compartment of backpack is equipped with a high-quality TSA-007 customs lock that requires a 3-digit code verification to prevent the theft of the belonging, and the back pocket is a hidden zipper, which allows you to use it as a quick-access pocket or anti-theft hidden pocket.[Convenient Independence Pouches]-- Backpack with Electronic Gadget Pouch, it a separate small pouch with three folded layers and buckle fixing. We use it to store small electronic items with multiple small compartments and mesh pockets inside. It can store data cables, earphone cases, power bank, cell phones, USB flash drives and SD cards and so on. Reasonable planning to organize your small items, keep your backpack tidy and convenient to use![Multi-compartment & Spacious]-- Backpack has Main Compartment and Back Pocket.The Main Compartment comes with 1 * 15.6"" Laptop Pocket + 1 * 10.9"" iPad Pocket + 1 * Mesh Pocket + 1 * 1000ml Water Pocket + 1 * Electronic Gadget Pouch.Hidden zippered back pocket for easy access to your belongings.The shoulder strap comes with a glasses holder.The most essential point is the separate water bottle pocket in the main compartment, a very convenient design to prevent accidental leaks![Premium Material for Daily Use]-- The front and bottom cover is made of Semi-Hard material and front cover adopts 3D geometry design. The fabric is made of EVA compression molded and coated leather film, the lining is made of hiking bag material which is sturdy and durable, and the electronic pocket is made of sponge cushion covered with velvet.Soft leater Handle and Fixed luggage trolley strap and Honeycomb Breathable padded back cushion for easy traveling.[Super Water&Scratch-resistant]-- The backpack is IPX6 water-resistant fabric. A carefully designed zipper is covered with leather film to prevent water from seeping into the bag, adapt to the changeable weather, do not fear the sudden light rainy.The front and bottom of the hardshell shell are designed to protect the contents of the backpack from external pressures and impacts.",ASIN : B0B6FXRBR8,,Manufacturer : ah arctic hunter
"Care Instructions: Hand Wash OnlyMaterial: This bag is made from high quality Nylon with polyester lining which is waterproof.; (Lx W x H) 38 cm x 26.7 cm x 51 cm. Unisex backpack for men and women<br> <br>Compartments: 4 compartments including 1 main compartment for 15.6 inch laptop, 2 zippers at side, 1 anti-theft zipper at back keeping your wallet, cards and phone safe, 2 additional water pouches, Multiple interior slot pocket for your other belonging such as notebook, tablet, phones, water bottle. USB charging slot with ear phone hole<br> <br>Capacity: 35-45 litres capacity used for daily office goers. Also used as travelling, hiking, trekking backpack<br> <br>Accurate air bubbles reduces excess weight and stress by 55 % on your shoulders and Back tough air mesh cushion supports your spinal during long go<br> <br>Compartment Description: Up To 15 Inches; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult <br>",ASIN : B07XYTZP4Z,,Manufacturer : Red Lemon
